lecture_id,title,date,slides,video
0,Welcome to CS196!,Jan 23,https://docs.google.com/presentation/d/1vfePbQ_-muTiqt2DwsFnhFgIPaE89hwPAkI9IhehoKw/edit?usp=sharing,https://www.youtube.com/watch?v=fbH-l3zPlUw
1,Intro to Bash,Jan 28,https://docs.google.com/presentation/d/1iuELVwGU6MBl9vpwHtxOs0x__NFibD2vYLL9QNNc1vw/edit?usp=sharing,https://www.youtube.com/watch?v=miG5mGcez7I
2,Bash Part 2,Jan 30,https://docs.google.com/presentation/d/1g-CW-oYopvPaRq-3YrcGIRgdjd9GFtEfQ-9nNzMyH-8/edit?usp=sharing,https://www.youtube.com/watch?v=m1xScpS8TBU
3,Intro to Git,Feb 4,https://docs.google.com/presentation/d/18Jvsq6q1Uaj6YXhvrs2-u-tzp5ocExmF52qVz2vzhRI/edit?usp=sharing,https://www.youtube.com/watch?v=8rkCIjeC8Ug
4,Git Part 2,Feb 6,https://docs.google.com/presentation/d/1I-xHDehKWuUS2DZcNjOAjn9a1mqk_e-bY5vW_W-V8zQ/edit?usp=sharing,https://www.youtube.com/watch?v=3Km0QRmin-s
5,"Rust: Variables, Types, Functions, Control",Feb 11,https://docs.google.com/presentation/d/13Q9kIXfmRr03aM9fWCYJj_scxsz2uXU_L8WBOt38BuI/edit?usp=sharing,https://www.youtube.com/watch?v=pxDTeJmEbsQ
6,"Rust: Memory, Ownership, Borrowing",Feb 13,https://docs.google.com/presentation/d/1OaYvkX83rskoEbOiSh6EFZc8jlNgEczYMEBBZIgRdVo/edit?usp=sharing,https://www.youtube.com/watch?v=kKMF93xkmT0
7,"Rust: Strings, Slicing, Structs",Feb 18,https://docs.google.com/presentation/d/1LhTKxFj3S9KtEkU1cPC4uBPyWgUH3GNceBimIY0YQlg/edit?usp=sharing,https://www.youtube.com/watch?v=TVO6ptnnPwE
8,Debugging,Feb 20,https://docs.google.com/presentation/d/1XhRkljumUWUTnxvaUV7L0Y2vtx7-_f_jBfNB_77G-14/edit?usp=sharing,https://www.youtube.com/watch?v=Np7UN-SeYP4
9,"API Calls, Requests, JSON",Feb 25,https://docs.google.com/presentation/d/1Nxv1Og92m9m_5WnoOOZiD0oCJg2iWOcTfRXoqqIvMs4/edit?usp=sharing,https://www.youtube.com/watch?v=C362eb09sJo
10,Consuming Libraries and Frameworks,Feb 27,https://docs.google.com/presentation/d/1DbgTAizoVUn4FLTHtjR-3HPcOZQvJ1KypdHlCySS8y0/edit?usp=sharing,https://www.youtube.com/watch?v=GUC81FD1UBM
11,Intro to Plato,Mar 3,https://docs.google.com/presentation/d/1L13LCuNKN2vFS64aSSlrCmTIml9riIx6_4cI-dn-0_s/edit?usp=sharing,
12,How To Get an Internship,Mar 5,https://docs.google.com/presentation/d/15uYDO5-G_sqhMQ0JSCqckgn2V9qWKdeoL9UQrTvbePI/edit?usp=sharing,https://www.youtube.com/watch?v=7nmc8lFtVok
13,Regular Expressions (RegEx),Mar 24,https://docs.google.com/presentation/d/1nJrZrnOB4Db64D6WRRpAHlN0JAGxSJijhxNRa-QsfRI/edit?usp=sharing,https://www.youtube.com/watch?v=ytL5QRg86T0
14,Data Mining,Mar 26,https://docs.google.com/presentation/d/1Y1OKyhUFCisVpRvAaaTU08Jro_0HKfUtpHIy6MSAW9o/edit?usp=sharing,
15,"Rust: Linked Lists, Smart Pointers",March 31,https://docs.google.com/presentation/d/1-XW_8kQJsDe2Z1nztuCiofvGYG_Nyk3B-fCAoquBR50/edit?usp=sharing,https://youtu.be/2q1AzGUwL7M
16,"Stacks, Queues, Applications",April 2,https://docs.google.com/presentation/d/1xrTOonZMV2vSASAGiw75v-ZyTZtGenaB1tCjWbyI_X0/edit?usp=sharing,
17,Fearless Recursion,April 7,https://docs.google.com/presentation/d/1TKagURPnLprnGIBrAAV5nERK5WyYdZxFp5sJcueUiYA/edit?usp=sharing,https://youtu.be/bs8vEqfCp_Q
18,Dynamic Programming,April 9,https://docs.google.com/presentation/d/1tOzfqzWemlvlB5F5CBuY0Fun5a0VmMaSxW62A2D7wYQ/edit?usp=sharing,
19,Functional Programming,April 14,https://docs.google.com/presentation/d/1woDT9dSYM7CriTYay_S8a7HsGBn63H8bQ7auN_X29jo/edit?usp=sharing,https://youtu.be/6dRy_K8IW5w
20,Recursive Backtracking,April 16,https://docs.google.com/presentation/d/1NFLcAKMj5a4rA6FDhn3rjk0Pwr3eurmzdSKqmP0TQW0/edit?usp=sharing,
21,"Rust: Concurrency, Threads, Channels",April 21,https://docs.google.com/presentation/d/1C1ysBfxvrI-3jNHgSluEEp2iqzKEFLZgIPeNkI-Zacg/edit?usp=sharing,https://youtu.be/JXDkdaGEuVU
22,"Rust: Shared State Concurrency, Mutexes",April 23,https://docs.google.com/presentation/d/13erBOAeIgAYreX1M99da5LmyVE39TPH4hugf0medwh4/edit?usp=sharing,https://youtu.be/ihexwD4fZr0